128MB 0 ? 131072 1706295
128MB ? 0 131072 126884
256MB 0 ? 262144 3290537
256MB ? 0 262144 126063
256MB 0 ? 262144 3313909
256MB ? 0 262144 143849
256MB 0 ? 262144 3272134
256MB ? 0 262144 118562
256MB 0 ? 262144 3357657
256MB ? 0 262144 126456
256MB 0 ? 262144 3271400
256MB ? 0 262144 118617
256MB 0 ? 262144 3363409
256MB ? 0 262144 110255
256MB 0 ? 262144 3338783
256MB ? 0 262144 119042
256MB 0 ? 262144 3286767
256MB ? 0 262144 274741
256MB 0 ? 262144 3380588
256MB ? 0 262144 178025
256MB 0 ? 262144 3514137
256MB ? 0 262144 193450
256MB 0 ? 262144 3381002
256MB ? 0 262144 134170
256MB 0 ? 262144 3272626
256MB ? 0 262144 118996
256MB 0 ? 262144 3407997
256MB ? 0 262144 160814
256MB 0 ? 262144 3338810
256MB ? 0 262144 135010
256MB 0 ? 262144 3305123
256MB ? 0 262144 134667
256MB 0 ? 262144 3506063
256MB ? 0 262144 127855
256MB 0 ? 262144 3389712
256MB ? 0 262144 125933
256MB 0 ? 262144 3280700
256MB ? 0 262144 144508
256MB 0 ? 262144 3313988
256MB ? 0 262144 152720
256MB 0 ? 262144 3314504
256MB ? 0 262144 122101
512MB 0 ? 524288 6120149
512MB ? 0 524288 183384
512MB 0 ? 524288 6119599
512MB ? 0 524288 336087
512MB 0 ? 524288 6078215
512MB ? 0 524288 125906
512MB 0 ? 524288 5794862
512MB ? 0 524288 134479
512MB 0 ? 524288 6236735
512MB ? 0 524288 233169
512MB 0 ? 524288 6121653
512MB ? 0 524288 198497
512MB 0 ? 524288 6144659
512MB ? 0 524288 101086
512MB 0 ? 524288 6195274
512MB ? 0 524288 183989
512MB 0 ? 524288 6836189
512MB ? 0 524288 216562
512MB 0 ? 524288 6470175
512MB ? 0 524288 150858
512MB 0 ? 524288 6136370
512MB ? 0 524288 159242
512MB 0 ? 524288 6246150
512MB ? 0 524288 147009
512MB 0 ? 524288 6312001
512MB ? 0 524288 343277
512MB 0 ? 524288 6102632
512MB ? 0 524288 134205
512MB 0 ? 524288 6278447
512MB ? 0 524288 234381
512MB 0 ? 524288 6193784
512MB ? 0 524288 193262
512MB 0 ? 524288 6219762
512MB ? 0 524288 124776
512MB 0 ? 524288 6294299
512MB ? 0 524288 226923
512MB 0 ? 524288 6189120
512MB ? 0 524288 317062
512MB 0 ? 524288 6094683
512MB ? 0 524288 150487
1GB 0 ? 1048576 10875411
1GB ? 0 1048576 400050
1GB 0 ? 1048576 10617274
1GB ? 0 1048576 173908
1GB 0 ? 1048576 10874789
1GB ? 0 1048576 183275
1GB 0 ? 1048576 10786354
1GB ? 0 1048576 166319
1GB 0 ? 1048576 11284415
1GB ? 0 1048576 216827
1GB 0 ? 1048576 10567980
1GB ? 0 1048576 248280
1GB 0 ? 1048576 10682756
1GB ? 0 1048576 190818
1GB 0 ? 1048576 10693076
1GB ? 0 1048576 224664
1GB 0 ? 1048576 10608810
1GB ? 0 1048576 207626
1GB 0 ? 1048576 10850828
1GB ? 0 1048576 231980
1GB 0 ? 1048576 10824983
1GB ? 0 1048576 159058
1GB 0 ? 1048576 10366635
1GB ? 0 1048576 175047
1GB 0 ? 1048576 10768010
1GB ? 0 1048576 182298
1GB 0 ? 1048576 11069624
1GB ? 0 1048576 199693
1GB 0 ? 1048576 10818305
1GB ? 0 1048576 184100
1GB 0 ? 1048576 10646072
1GB ? 0 1048576 182145
1GB 0 ? 1048576 10824423
1GB ? 0 1048576 356958
